Comment,Abusive
Mggn,2.0
Dengey,2.0
Lanjodaka,2.0
Pora puka,2.0
Na lavda,2.0
Modda,2.0
Kcpd,2.0
Erripuka,2.0
Ara erripuka,2.0
Denginchukoo,2.0
Evadu gudda denguthav enti,2.0
Nede nuvvu chekukoo,2.0
Langaveshalu veyaku,2.0
Lanja,2.0
Gudda lanjakodaka,2.0
Gudda balsindi aa,2.0
Modda gudda Moddakudu lanja lanjamunda puka pinchupka chekka kojja sulli erripuk balshinda dengutha,2.0
90mm rod dimpytha ekkuva dengithey,2.0
Lanjodakanee Amman dengamaakeloudeymodda cheekuerripookaloudey ke ballmaaki chootchootiyalafootbaadcowmother fucking bitch,2.0
Natakalu adaku,2.0
Dengey,2.0
Yedhavana kodaka,2.0
Po ra puka,2.0
lowda,2.0
bloody asshole,2.0
lowde ke baal,2.0
sulli chekku,2.0
Kojjana na kodaka urru lanja mundaerri papasulli chike madda mundamadda cheke sulli kaodakagudha sulli cheke godha lanja,2.0
dumb fuck,2.0
Lanja pukusulli cheekuerri pukuvachi naku,2.0
Erripukka,2.0
Erri puvvu,2.0
Jathi puku lo modda,2.0
Kittu oka andagaadu,2.0
Ni Amma kukka ni dengichkunta Kaamasutra 2 raasthunte nuuvu puttav ra lanja naila Ni Amma ni dengi ninna 20 rupees icha dhanitho tiffin konukoni thinnu Adhi Koda saripokapothe ni Amma paalu ni ammukoni AA dabbutho emanna thinnu bichagada,2.0
Just open my val chat,2.0
Basarathulumundajathimoddalekkikuduvuerripukakarepukakondapichipukabhadcowlowda,2.0
Lanja kodakani pellam ni kukkalu denga,2.0
Bewarse langa godha lanjakodaka 30 mins dengalanta adhi puka pulihora,2.0
Dengeymaddachikusulligaporambokkupichigudalodabadakav,2.0
yerripuka munda lanja,2.0
lanja monda ni pellam nalla sulli teesi ni koduku moddalo pedtha chelli ni denge kaamakukka,2.0
Life is short say dengey to everyone,2.0
Denguthe devasena antav,2.0
Mee Amma puku ni Denga Lanjakodaka Vatha Kaya,2.0
Dengey G balsindha nee avva,2.0
Lamdi,2.0
Shathagani kodukulu,2.0
Cum,2.0
Nigga,2.0
Tikkalakotamma,2.0
Nalla,2.0
Gajji,2.0
Dhalit lanjaLow caste kodaka,2.0
Poyyyi tailor swift gudha chikuaa tarvta justin Bieber modda cheeku,2.0
Aada dhaniki pirra andham mogodiki bojja andhamni pu ki thana puvvu andham,2.0
Dengey,2.0
Modda,2.0
Lanjaakodukaa,2.0
Mg,2.0
Pora pooka,2.0
Raja the great puka the great,2.0
battebas,2.0
Hukulo dialogue,2.0
E video na moda varaku vachindii,2.0
Ni gudha dhenganiki vacham,2.0
Na modda varaki vachindi ra ni video,2.0
E video kuda modavark poyetatundhi,2.0
Pukaas nuvve great ,2.0
Pichi lanjokaa broo eddu,2.0
Ni amma arey nuvu videos apuu ra yaaa,2.0
Ilane sollu dengutaru last lo bochu kuda migaldu ,2.0
At last anad belike odhlesthava ani adigi tappu chysaa mogga gudipisthavaa ani adagalisindi ani anukoni untadu,2.0
Tanu mosam cheyali ante Viraj gadi to settle ayyedi tanani Tanu mosam chesukundi last ki gudisipoyindi Anand gadi batuku ,2.0
Virginity kuda vadhelisthadhi  lanja,2.0
errri poka,2.0
its me ekkada maatladithey chopputho dhenguthaarani bhayam,2.0
Nalugu kadhu bro nalapai bengina thappuledhu,2.0
Ah BIGGBOSS cup tisukoni pp gani G loo pettandi ikkada matladedi cricket cup gurinchi bochuloo bb gurinchi kadu,2.0
Na balls lo bbindia wc raa ungamma,2.0
Sollu lanjakodka,2.0
Bahubali Lo Dhunna Pothu Moda Size Dinikela Telusu Mawa,2.0
Ni puvvu pedda samudram antha untada,2.0
Jai Telangana bacche ki gand dhulana,2.0
Jai Telangana election hone ke baad public ki gand mein aisi pani daudana,2.0
Jai Telangana jai Telangana chote bachoon ki gand dhulana,2.0
Asalu Kajal ni NTR love chesthadu ani cheppina pulka gadu evadra ,2.0
Nuv okkadivay katti erripok ayyav ra puka,2.0
Stop acting like dumbfucks in comments you all HE IS TRYING TO HELP YOU GUYS Be nice to him wtf,2.0
Ninnu kadhu Ra Nik Visa Ichinodini Thannali,2.0
University madda gudu mama,2.0
Evadra vediki visa echindi Bugga gadu,2.0
Ee erripuk ki visa evadra echindi,2.0
Anni tyms chaptavu raa puka,2.0
Andar akkadke poi kattandi ikkada katti manaodi la erripook kakandi,2.0
Nu okanve eripooku aynav ra edava English ranodu us pothe etlane untadi,2.0
Arey eddi Adi I 20 amount ra andulo anni include avthay nv chuskoni only tuition fee pay chyli,2.0
nuvvu bugga gadivi kabatte kattinav ra erri,2.0
Arey bugga igo ra jgrtha,2.0
Pora chillara,2.0
Nvvhe erripukodivi ra,2.0
nothi pukugadivi ra,2.0
Ani sarlu cheyputhav badakov,2.0
Error puka,2.0
MG chesai mama university ne,2.0
Modda ra nuv,2.0
Asalu evadara nv enni sarlu chebuthavuraa babu ne rendu laks lavada anntu cut chezenadu lavada anntu denguthunnavura sami nv happy ganey unnava kadhaa oka eripuku gadu neeku visa ecchi dobinchuko unnadu vadini dengali 1st kothaga emi iena chyara nv ennkokka sari 2lakslu annavu anntey oka room lo petti 247balayya babu cinimalu esi champesthanu,2.0
